Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	RefSeq	KEGG	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
#!{Type}	Text	Text	Text	Categorical	Categorical	Text	Categorical	Text	Categorical	Categorical	Categorical	Categorical
Q7TU21	Q7TU21_PROMP	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd PMM1654	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	343	PMM1654	"PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 2/4. {ECO:0000256|ARBA:ARBA00005076, ECO:0000256|HAMAP-Rule:MF_02121}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3. {ECO:0000256|ARBA:ARBA00005021, ECO:0000256|HAMAP-Rule:MF_02121}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5. {ECO:0000256|ARBA:ARBA00005097, ECO:0000256|HAMAP-Rule:MF_02121}."	WP_011133281.1	pmm:PMM1654;	'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]	
Q7UZH7	PYRG_PROMP	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG PMM1689	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	536	PMM1689	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; CTP from UDP: step 2/2. {ECO:0000255|HAMAP-Rule:MF_01227}.	WP_011133316.1	pmm:PMM1689;	'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]	
Q7UZR6	PANCY_PROMP	Bifunctional pantoate ligase/cytidylate kinase [Includes: Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme); Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)]	panC/cmk PMM1590	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	510	PMM1590	PATHWAY: Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantothenate from (R)-pantoate and beta-alanine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01349}.	WP_011133218.1	pmm:PMM1590;	pantothenate biosynthetic process [GO:0015940]; phosphorylation [GO:0016310]; pyrimidine nucleotide metabolic process [GO:0006220]	ATP binding [GO:0005524]; CMP kinase activity [GO:0036430]; dCMP kinase activity [GO:0036431]; pantoate-beta-alanine ligase activity [GO:0004592]	cytoplasm [GO:0005737]
Q7V010	RLMN_PROMP	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN PMM1481	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	348	PMM1481		WP_011133109.1	pmm:PMM1481;	rRNA base methylation [GO:0070475]	"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; rRNA (adenine-C2-)-methyltransferase activity [GO:0070040]; rRNA binding [GO:0019843]; tRNA (adenine-C2-)-methyltransferase activity [GO:0002935]; tRNA binding [GO:0000049]"	cytoplasm [GO:0005737]
Q7V0C4	KAIC_PROMP	Circadian clock protein kinase KaiC (EC 2.7.11.1)	kaiC PMM1342	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	509	PMM1342		WP_011132976.1	pmm:PMM1342;	circadian rhythm [GO:0007623]; phosphorylation [GO:0016310]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]	
Q7V0G1	MURA_PROMP	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA PMM1300	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	457	PMM1300	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00111}.	WP_011132934.1	pmm:PMM1300;	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]	cytoplasm [GO:0005737]
Q7V0G8	Q7V0G8_PROMP	ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase)	nnrD PMM1290	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	521	PMM1290		WP_011132924.1	pmm:PMM1290;	nicotinamide nucleotide metabolic process [GO:0046496]	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]	
Q7V0H7	Q7V0H7_PROMP	"Multifunctional fusion protein [Includes: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12); tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)]"	trmD ispF PMM1280	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	407	PMM1280	"PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 4/6. {ECO:0000256|ARBA:ARBA00004709, ECO:0000256|HAMAP-Rule:MF_00107}."		pmm:PMM1280;	"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]"	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; metal ion binding [GO:0046872]; tRNA (guanine(37)-N(1))-methyltransferase activity [GO:0052906]"	cytoplasm [GO:0005737]
Q7V111	KPRS_PROMP	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs PMM1080	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	331	PMM1080	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00583}.	WP_011132713.1	pmm:PMM1080;	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleotide biosynthetic process [GO:0009165]; phosphorylation [GO:0016310]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]	cytoplasm [GO:0005737]
