C1_1	C1_2	C1_3	C2_1	C2_2	C2_3	C3_1	C3_2	C3_3	C4_1	C4_2	C4_3	C5_1	C5_2	C5_3	Species	name	protein_id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	T	T
5.21220684051514	5.72660636901855	6.3512134552002	7.20397567749023	6.67892742156982	6.86128425598145	6.98154830932617	7.4685640335083	7.15386390686035	8.06598663330078	7.84988117218018	7.39044189453125	7.54735469818115	8.46663379669189	8.00388431549072	ALT	TonB-dependent receptor	WP_061485087.1
4.827712059021	4.89521026611328	4.94193840026855	6.2073974609375	5.84243679046631	6.20428848266602	5.59872245788574	6.2614049911499	5.86370849609375	6.78048133850098	6.5794153213501	5.6802806854248	6.02551746368408	7.46596050262451	6.17218112945557	ALT	TonB-dependent receptor	WP_014950040.1
4.33479404449463	4.56480598449707	4.82428741455078	5.91862487792969	5.6587553024292	6.08101844787598	6.11135101318359	6.35420703887939	6.11627960205078	6.6494197845459	6.49863910675049	6.0472412109375	6.10197162628174	7.08827304840088	6.38200092315674	ALT	MULTISPECIES: TonB-dependent receptor	WP_039226539.1
3.61301708221436	3.77791976928711	4.08427810668945	4.96097564697266	4.40207767486572	4.89866638183594	4.51737976074219	4.94102764129639	4.61355590820313	5.64251327514648	5.48905849456787	5.05611610412598	5.07997226715088	6.10633945465088	5.29903316497803	ALT	TonB-dependent receptor	WP_014977470.1
5.26417255401611	5.97119331359863	6.36249160766602	6.8310661315918	6.59411716461182	6.75209426879883	6.26784324645996	6.66597080230713	6.4131031036377	7.16193389892578	7.14335536956787	6.86305809020996	6.76258373260498	7.47351551055908	6.75594806671143	ALT	MULTISPECIES: OmpA family protein	WP_014951106.1
8.42105579376221	8.76178932189941	8.59465217590332	8.51454925537109	8.81483745574951	8.46877288818359	8.78066825866699	8.39314556121826	8.48654747009277	8.32849502563477	7.95767879486084	7.65120697021484	7.89076328277588	8.06381702423096	8.06386280059814	ALT	MULTISPECIES: elongation factor Tu	WP_014977498.1
1.01355648040771	1.27083778381348	2.01252937316895	2.94489097595215	2.78593921661377	3.00124359130859	3.97463798522949	4.05347537994385	3.8681755065918	4.24505233764648	4.36582088470459	4.09311676025391	4.10233020782471	5.23252010345459	4.50650119781494	ALT	MULTISPECIES: TonB-dependent receptor	WP_014977109.1
1.98369121551514	2.16655731201172	2.57884788513184	3.72484397888184	3.18328189849854	3.73369216918945	3.8597297668457	4.19062519073486	3.78951263427734	4.83449172973633	4.65487766265869	4.10058784484863	4.38951587677002	5.52148532867432	4.84245204925537	ALT	TonB-dependent receptor	WP_061485930.1
3.90888500213623	3.87871170043945	4.06828498840332	5.54217338562012	5.14341831207275	5.49692726135254	4.96172904968262	5.45134449005127	4.94374656677246	6.1201343536377	5.75253582000732	5.10375595092773	5.32132434844971	6.50909519195557	5.5025053024292	ALT	MULTISPECIES: TonB-dependent receptor	WP_014978882.1
5.10156154632568	4.68526840209961	4.61668586730957	4.41856956481934	4.63744640350342	4.46512031555176	4.8464412689209	4.482346534729	4.56038093566895	4.31945610046387	4.08123874664307	3.87155342102051	4.16671657562256	3.9568567276001	4.1932954788208	ALT	MULTISPECIES: DNA-directed RNA polymerase subunit beta	WP_014977618.1
5.07180309295654	4.99708938598633	5.12761116027832	4.43123626708984	4.74389171600342	4.53763580322266	4.92984008789063	4.77849102020264	4.90360260009766	4.6370906829834	4.46560764312744	4.3038444519043	4.52978229522705	4.25635623931885	4.7741003036499	ALT	MULTISPECIES: DNA-directed RNA polymerase subunit beta'	WP_039229319.1
-2.43375873565674	-2.63685417175293	-1.90860748291016	-0.673553466796875	-0.0792551040649414	-0.575908660888672	1.72383117675781	1.43609523773193	1.85003089904785	2.57497215270996	2.09610462188721	2.02522277832031	2.4536600112915	2.10801410675049	2.67420291900635	ALT	DUF11 domain-containing protein	WP_158511557.1
6.87773990631104	7.02805137634277	7.24114990234375	6.90660667419434	6.86262607574463	6.85199165344238	6.37656593322754	6.31831073760986	6.32974815368652	6.15205955505371	5.93890476226807	5.93016815185547	5.81850910186768	6.09031200408936	6.16214466094971	ALT	MULTISPECIES: F0F1 ATP synthase subunit alpha	WP_014951450.1
2.38229846954346	3.1752758026123	3.95711326599121	4.12624931335449	3.69713115692139	3.88375282287598	4.31972503662109	4.90521144866943	4.70248413085938	5.32328414916992	5.37960147857666	5.3576545715332	4.79655170440674	5.9611234664917	5.3277063369751	ALT	DcaP family trimeric outer membrane transporter	WP_061487009.1
2.54316234588623	2.51584434509277	3.44700622558594	4.27191734313965	3.78131771087646	3.93533325195313	3.90162658691406	4.36949253082275	3.92429542541504	4.4465389251709	4.32805347442627	4.01514434814453	3.718825340271	4.62546062469482	4.07238483428955	ALT	TonB-dependent receptor	WP_061485787.1
5.95226383209229	6.10139274597168	6.32887840270996	6.10423278808594	6.39231967926025	6.13265228271484	6.43157768249512	6.1093282699585	6.04182624816895	6.33272933959961	6.00911045074463	6.06796646118164	6.00355625152588	6.04104137420654	6.19667530059814	ALT	MULTISPECIES: elongation factor G	WP_061485411.1
