P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	P3_1	P3_2	P3_3	P5_1	P5_2	P5_3	Species	name	protein_id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	C	T	T
7.73864078521729	7.6203498840332	7.8481502532959	7.72278499603271	7.68836307525635	8.08382797241211	3.648512840271	3.85689067840576	3.30480289459229	4.25106906890869	4.31835460662842	5.19212532043457	PRO	photosystem I core protein PsaA	WP_011133152.1
4.48482799530029	4.63532257080078	4.47111511230469	4.20172214508057	4.25465106964111	4.77329254150391	5.85159778594971	5.70966053009033	5.74619007110596	6.197678565979	6.61243534088135	6.6124439239502	PRO	polyribonucleotide nucleotidyltransferase	WP_011132825.1
0.75382137298584	0.94281005859375	0.855434417724609	1.58270359039307	1.37965869903564	1.44503593444824	0.0706605911254883	0.579434394836426	0.76294994354248	1.70108509063721	1.03947734832764	0.861282348632813	PRO	autotransporter outer membrane beta-barrel domain-containing protein	WP_011132757.1
2.21561336517334	2.55916404724121	2.39434432983398	3.1284818649292	2.94813442230225	3.06504249572754	3.25779247283936	3.43482494354248	2.90384006500244	2.8523473739624	3.03204250335693	2.84616470336914	PRO	NADP-dependent phosphogluconate dehydrogenase	WP_011132404.1
4.09079074859619	4.33612442016602	4.27922821044922	3.85069179534912	4.2404317855835	4.51727676391602	5.76839542388916	5.43896961212158	5.65605449676514	5.90562343597412	5.8980131149292	6.40466499328613	PRO	class II fructose-bisphosphatase	WP_011132401.1
3.07359790802002	3.09639930725098	2.91835021972656	2.79632663726807	2.79084300994873	2.91124725341797	1.70523548126221	1.37160968780518	1.26830387115479	1.07238292694092	1.06409358978271	1.05867004394531	PRO	NAD(P)H-binding protein	WP_011132785.1
7.53386402130127	7.80465316772461	7.48714256286621	7.13048648834229	7.18629360198975	7.48479461669922	8.55711460113525	8.64220905303955	8.29654979705811	8.07452297210693	8.62941074371338	8.85712242126465	PRO	chaperonin GroEL	WP_011133065.1
2.70148944854736	2.70473289489746	2.71589469909668	3.08832454681396	3.08014392852783	3.37381553649902	4.0538911819458	4.02232456207275	3.85464000701904	3.35301113128662	3.90638065338135	4.12087440490723	PRO	citrate synthase	WP_011131800.1
1.01867198944092	0.894424438476563	1.06185722351074	1.8895845413208	2.51673793792725	2.15276908874512	1.16384220123291	1.93794727325439	0.799664497375488	0.665492057800293	0.369341850280762	1.09587860107422	PRO	cell division protein SepF	WP_011132031.1
5.85757923126221	6.12809562683105	6.23342323303223	5.66910839080811	5.65629100799561	5.91605758666992	6.90703105926514	6.77198123931885	6.72089099884033	6.47303104400635	6.81557369232178	7.16061210632324	PRO	type I glyceraldehyde-3-phosphate dehydrogenase	WP_011131661.1
2.47243595123291	2.5703239440918	2.67034721374512	4.50244426727295	4.74700260162354	4.82511329650879	4.1298189163208	4.23952579498291	3.4843053817749	4.64353847503662	5.02366161346436	5.63256645202637	PRO	type I glutamate--ammonia ligase	WP_011132553.1
3.98575115203857	4.09355354309082	4.09325790405273	4.17181301116943	4.05746936798096	4.3365535736084	6.3903112411499	6.57449817657471	5.76097011566162	6.72948169708252	7.17916584014893	7.24624252319336	PRO	cell division protein FtsZ	WP_011132943.1
7.55349636077881	7.55742073059082	7.56843948364258	7.11207485198975	7.29298305511475	7.65075302124023	3.93544101715088	3.77021884918213	3.6028299331665	5.46361064910889	5.59524822235107	5.8618106842041	PRO	photosystem II chlorophyll-binding protein CP47	WP_011131952.1
5.81177234649658	5.79903221130371	5.82988166809082	4.82136058807373	5.13197040557861	4.91935920715332	2.40201854705811	1.91019725799561	2.53653049468994	3.1133508682251	3.13497638702393	2.70708084106445	PRO	ATP-dependent zinc metalloprotease FtsH	WP_011132377.1
1.73185443878174	2.2634105682373	2.03822135925293	4.00345325469971	3.90417385101318	4.48339080810547	5.47891902923584	5.86142826080322	5.5526876449585	5.89679431915283	6.12202548980713	5.89466857910156	PRO	recombinase RecA	WP_011133190.1
0.830168724060059	0.771318435668945	0.647665023803711	1.10416698455811	0.890971183776855	1.11419486999512	1.62589931488037	1.49537563323975	1.83645725250244	2.2842321395874	1.9598913192749	2.05997848510742	PRO	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	WP_011132245.1
3.95003032684326	4.11959266662598	3.94877433776855	3.57379245758057	3.651686668396	3.94194602966309	4.97158145904541	4.70734882354736	5.0139627456665	5.57261562347412	5.88185214996338	5.93325424194336	PRO	DNA-directed RNA polymerase subunit beta'	WP_011133111.1
6.23585224151611	6.36572456359863	6.33834457397461	6.03182888031006	6.03723430633545	6.32894515991211	7.64821720123291	7.23409938812256	7.11014080047607	6.96504497528076	7.53991794586182	7.74709510803223	PRO	F0F1 ATP synthase subunit beta	WP_011133067.1
7.12928867340088	7.15170478820801	7.03218650817871	6.97046375274658	6.84517574310303	7.49591064453125	5.48415279388428	5.07207775115967	5.46680736541748	5.904128074646	6.06606388092041	6.54682159423828	PRO	MULTISPECIES: form I ribulose bisphosphate carboxylase large subunit	WP_002805854.1
3.77674007415771	3.97933006286621	3.69720077514648	3.82608127593994	3.88514423370361	4.29876518249512	5.19128704071045	5.39690685272217	4.73887538909912	4.87875843048096	5.38959217071533	5.1224479675293	PRO	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	WP_011132276.1
3.88949680328369	3.97908973693848	3.86931610107422	3.47899723052979	3.57730007171631	3.96384429931641	4.72580623626709	4.27889919281006	4.63031673431396	4.93627643585205	5.50018215179443	5.11686706542969	PRO	DNA-directed RNA polymerase subunit gamma	WP_011133112.1
1.9692850112915	1.97857475280762	1.65799522399902	1.69454097747803	1.65896892547607	2.18753623962402	3.82913303375244	3.41231441497803	3.87371921539307	4.24925136566162	4.37299823760986	3.81588363647461	PRO	metal ABC transporter substrate-binding protein	WP_011132665.1
5.13544940948486	5.52446174621582	5.38841247558594	5.08557415008545	5.04214000701904	5.40761756896973	6.42434978485107	6.20042133331299	6.14268970489502	6.30969333648682	6.48464298248291	6.70526123046875	PRO	transketolase	WP_011133237.1
2.91037273406982	3.14214706420898	2.98308753967285	3.09736347198486	3.33339023590088	3.55675506591797	3.80149173736572	4.48210048675537	3.87393093109131	4.59036159515381	4.92959308624268	4.95744323730469	PRO	phosphopyruvate hydratase	WP_011131847.1
1.3569803237915	1.51801109313965	1.07125854492188	1.04093837738037	1.43276882171631	1.89236259460449	1.59115695953369	1.47166156768799	1.56800556182861	1.52625560760498	0.811118125915527	1.6318416595459	PRO	dehydrogenase E1 component subunit beta	WP_011132864.1
3.03465175628662	3.16947364807129	2.94565963745117	2.61374759674072	2.41295528411865	2.69563484191895	3.95584583282471	3.82504177093506	3.78185367584229	3.20658397674561	3.71556377410889	3.92000198364258	PRO	1-deoxy-D-xylulose-5-phosphate synthase	WP_011132540.1
3.24679088592529	3.11875915527344	3.1553840637207	2.86648273468018	2.75816059112549	3.1697998046875	3.37964153289795	3.35160160064697	2.96089458465576	3.76403522491455	4.0513334274292	4.06179618835449	PRO	FAD-dependent oxidoreductase	WP_011131850.1
6.18739986419678	6.36938285827637	6.22905349731445	5.55503177642822	5.52633762359619	5.96221351623535	7.71728229522705	7.45168781280518	7.051589012146	7.3268346786499	7.91980838775635	7.90707015991211	PRO	F0F1 ATP synthase subunit alpha	WP_011133080.1
5.39353084564209	5.54448127746582	5.41036224365234	5.5094518661499	5.47862339019775	5.90684509277344	5.86886501312256	5.83166027069092	5.99436283111572	6.13613414764404	6.65540409088135	6.55409812927246	PRO	phosphate ABC transporter substrate-binding protein PstS	WP_011132344.1
3.39727306365967	3.38215065002441	3.31283187866211	3.76331996917725	3.92220783233643	4.22236061096191	2.675856590271	2.8056116104126	2.58182430267334	2.97092914581299	3.37803745269775	2.97853469848633	PRO	BamA/TamA family outer membrane protein	WP_011132972.1
2.36991214752197	2.64879989624023	2.66436958312988	2.16936206817627	2.235671043396	2.41932106018066	2.58008670806885	1.99898815155029	2.35514163970947	2.9982271194458	2.8942174911499	2.52128982543945	PRO	type I DNA topoisomerase	WP_011132072.1
4.47300243377686	4.55223846435547	4.50796318054199	3.88868808746338	3.93186092376709	4.23283576965332	5.20306301116943	5.25670719146729	5.22007465362549	5.49689769744873	6.09082317352295	6.00902366638184	PRO	elongation factor G	WP_011133137.1
1.85300350189209	1.95212745666504	2.39334869384766	2.1205530166626	1.94711589813232	1.82021713256836	2.51649570465088	2.59390735626221	2.5124979019165	1.03543567657471	2.09078693389893	1.92345809936523	PRO	DegT/DnrJ/EryC1/StrS family aminotransferase	WP_011132892.1
1.26839160919189	1.27465438842773	0.978878021240234	1.32424831390381	1.17854785919189	1.58152008056641	2.47671794891357	2.61335277557373	2.26308155059814	2.60132503509521	2.87448978424072	2.83203887939453	PRO	dihydroxy-acid dehydratase	WP_011132408.1
5.21902751922607	5.39732360839844	5.0623893737793	4.91939830780029	4.80408573150635	5.32205581665039	5.75515270233154	6.13468837738037	5.98000621795654	6.71984386444092	6.93850231170654	7.09384346008301	PRO	molecular chaperone DnaK	WP_011133331.1
