C1_1	C1_2	C1_3	C2_1	C2_2	C2_3	C3_1	C3_2	C3_3	C4_1	C4_2	C4_3	C5_1	C5_2	C5_3	Species	name	protein_id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	T	T
4.31519222259521	3.90488529205322	5.64363098144531	6.59269142150879	6.1990795135498	6.06942749023438	7.06076431274414	6.66907978057861	6.94325733184814	7.36374950408936	7.06567096710205	6.87410163879395	6.94904041290283	6.99833393096924	7.35098743438721	PRO	urea ABC transporter substrate-binding protein	WP_036930312.1
3.01223278045654	2.49073505401611	5.22154998779297	6.42929077148438	5.93893623352051	6.00963592529297	6.73176002502441	6.41910457611084	6.41073322296143	6.17783451080322	6.14145374298096	6.11685180664063	5.81473827362061	5.59695148468018	5.96050357818604	PRO	type I glutamate--ammonia ligase	WP_011132553.1
6.09738445281982	7.78613758087158	8.06264495849609	7.14218139648438	7.48541641235352	7.01948928833008	7.38179779052734	7.38225841522217	7.37993335723877	7.44210529327393	7.2401704788208	7.17251777648926	6.93345928192139	7.3738260269165	7.65972423553467	PRO	chaperonin GroEL	WP_011133065.1
5.67678546905518	5.82037448883057	5.62708854675293	5.52405548095703	5.6223258972168	5.65708541870117	6.04751586914063	6.02834796905518	6.14005565643311	7.3556604385376	7.05638027191162	6.90236854553223	7.13517665863037	7.32055950164795	7.24579906463623	PRO	MULTISPECIES: form I ribulose bisphosphate carboxylase large subunit	WP_002805854.1
6.45610332489014	6.8711633682251	6.93563842773438	6.59387969970703	6.82968711853027	6.57669067382813	6.34358596801758	6.00856113433838	6.14525127410889	6.6289701461792	6.36151599884033	6.20937156677246	6.30433559417725	6.27339649200439	6.62161540985107	PRO	elongation factor Tu	WP_011133136.1
4.96732807159424	5.43622493743896	5.50790023803711	5.09222412109375	5.20766067504883	4.75541496276855	4.85640525817871	4.55636310577393	4.77233409881592	5.14551448822021	4.89470767974854	4.92926025390625	4.84575939178467	4.71058368682861	5.2665548324585	PRO	DNA-directed RNA polymerase subunit beta'	WP_011133111.1
0.21943187713623	-0.00492954254150391	2.64231491088867	3.62512969970703	3.35403251647949	3.21921730041504	4.52722930908203	4.16138172149658	4.27291393280029	4.85396671295166	4.78398609161377	4.80620002746582	4.84555912017822	4.64060497283936	5.03930187225342	PRO	ABC transporter substrate-binding protein	WP_225866782.1
5.44716548919678	5.51366329193115	5.58850288391113	5.55252838134766	5.64024353027344	5.48673439025879	5.42238426208496	5.11941432952881	5.35036563873291	5.52534961700439	5.31180477142334	5.21732330322266	5.22501850128174	5.13118267059326	5.48420810699463	PRO	polyribonucleotide nucleotidyltransferase	WP_011132825.1
7.06906604766846	7.530198097229	6.88302612304688	6.5206470489502	7.18014335632324	6.8237419128418	6.48232269287109	6.23527240753174	6.18574237823486	6.65303325653076	6.34424495697021	6.13761901855469	6.40673160552979	6.30405521392822	6.30628681182861	PRO	chlorophyll a/b binding light-harvesting protein	WP_011132261.1
