A1_1	A1_2	A1_3	A2_1	A2_2	A2_3	A3_1	A3_2	A3_3	A5_1	A5_2	A5_3	Species	name	protein_id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	C	T	T
5.2401008605957	5.52503299713135	5.51969432830811	6.02524948120117	6.31491661071777	6.19206237792969	6.8715705871582	7.46932697296143	7.00335121154785	9.73048114776611	10.121413230896	10.3124437332153	ALT	TonB-dependent receptor	WP_061485087.1
3.70122718811035	3.92823314666748	3.61875057220459	4.44668197631836	4.50544738769531	4.4716625213623	5.31071853637695	5.6602258682251	5.10637283325195	8.00528621673584	8.41877269744873	8.3595495223999	ALT	TonB-dependent receptor	WP_014950040.1
4.68208694458008	4.85830211639404	4.77135944366455	5.21370697021484	5.42175483703613	5.44603157043457	5.57660293579102	5.89958667755127	5.92535400390625	7.56285381317139	7.7266092300415	8.16876697540283	ALT	MULTISPECIES: OmpA family protein	WP_014951106.1
2.96588897705078	3.31683826446533	3.11303997039795	3.70635032653809	3.80617141723633	3.75382614135742	4.29307556152344	4.89455509185791	4.4215087890625	7.22006702423096	7.45533466339111	7.36644840240479	ALT	TonB-dependent receptor	WP_014977470.1
3.96278381347656	4.35965251922607	4.09999370574951	4.65155220031738	4.5684986114502	4.62710380554199	5.4204044342041	5.90213680267334	5.35978126525879	8.11607646942139	8.34075260162354	8.583909034729	ALT	MULTISPECIES: TonB-dependent receptor	WP_039226539.1
6.96749305725098	7.08417415618896	7.05680561065674	7.47163963317871	7.22363471984863	7.32881164550781	7.03955078125	7.00230693817139	7.12741470336914	6.06396770477295	6.42752742767334	5.36957454681396	ALT	MULTISPECIES: elongation factor Tu	WP_014977498.1
4.28400421142578	4.35818576812744	4.3899393081665	4.65730285644531	4.31234359741211	4.37896537780762	3.94323348999023	4.06761646270752	3.96448135375977	2.74586582183838	3.25644969940186	2.24748516082764	ALT	MULTISPECIES: DNA-directed RNA polymerase subunit beta	WP_014977618.1
3.74585914611816	3.84246158599854	3.95599460601807	4.00811576843262	3.94422721862793	3.94798851013184	3.64476013183594	3.57305240631104	3.82255363464355	2.5700159072876	2.64811992645264	1.54123783111572	ALT	MULTISPECIES: DNA-directed RNA polymerase subunit beta'	WP_039229319.1
5.63978576660156	5.54625034332275	5.62540912628174	6.06198883056641	6.18198204040527	6.00389289855957	5.6281566619873	5.73958110809326	5.99762344360352	4.61434268951416	5.15753269195557	3.60107326507568	ALT	MULTISPECIES: F0F1 ATP synthase subunit alpha	WP_014951450.1
4.95606422424316	5.07505130767822	5.00001811981201	5.40859222412109	5.31840324401855	5.24692726135254	4.97256278991699	4.88681507110596	5.05955123901367	3.99491596221924	4.48329067230225	3.40515613555908	ALT	MULTISPECIES: elongation factor G	WP_061485411.1
2.58371925354004	2.75251293182373	2.77584171295166	3.21050453186035	3.41665649414063	3.20212364196777	3.84400367736816	4.46771907806396	3.80421447753906	6.67748737335205	6.88963603973389	7.12353038787842	ALT	TonB-dependent receptor	WP_061485787.1
3.36680603027344	3.35806941986084	3.56819248199463	3.76543426513672	3.69708824157715	3.74329376220703	3.4906063079834	3.83843517303467	3.51092338562012	2.71271419525146	3.32275485992432	1.66495037078857	ALT	NAD-glutamate dehydrogenase	WP_014949552.1
4.87739372253418	4.62236309051514	4.99282741546631	5.2360782623291	5.2026309967041	5.10176849365234	4.61677742004395	4.60854053497314	4.87382316589355	2.70175075531006	3.03278064727783	1.90765857696533	ALT	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	WP_061486392.1
4.57537078857422	4.65557765960693	4.73356914520264	4.79433250427246	4.7449893951416	4.75975036621094	4.43890571594238	4.06680202484131	4.53385925292969	3.25689029693604	3.49440670013428	2.15096759796143	ALT	MULTISPECIES: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	WP_014948296.1
5.54001808166504	5.69571971893311	5.76635456085205	6.05560874938965	5.71798515319824	5.78444290161133	5.54458045959473	5.55037212371826	5.58063888549805	4.20853328704834	4.37412929534912	3.30648899078369	ALT	MULTISPECIES: glutamate--ammonia ligase	WP_014950588.1
