gene_id,gene,product,status,main,sub,path,ecpath,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,Length,organism,protein_id
ACZ81_RS00005,dnaA,chromosomal replication initiator protein DnaA,no_significant,09130 Environmental Information Processing // 09140 Cellular Processes // 09180 Brite Hierarchies,09132 Signal transduction // 09143 Cell growth and death // 09182 Protein families: genetic information processing,02020 Two-component system [PATH:ko02020] // 04112 Cell cycle - Caulobacter [PATH:ko04112] // 03032 DNA replication proteins [BR:ko03032] // 03036 Chromosome and associated proteins [BR:ko03036],K02313  dnaA; chromosomal replication initiator protein,4746.94781214884,-0.4903834516939893,0.20070873009474768,-0,1,1,treatment_long.term_vs_ref,1653,HOT1A3,WP_232375975.1
ACZ81_RS00010,dnaN,DNA polymerase III subunit beta,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09124 Replication and repair // 09182 Protein families: genetic information processing,03030 DNA replication [PATH:ko03030] // 03430 Mismatch repair [PATH:ko03430] // 03440 Homologous recombination [PATH:ko03440] // 03032 DNA replication proteins [BR:ko03032] // 03400 DNA repair and recombination proteins [BR:ko03400],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],1970.9346539464811,-0.4174378045243489,0.14735576492173116,-0,1,1,treatment_long.term_vs_ref,1098,HOT1A3,WP_012516526.1
ACZ81_RS00015,recF,DNA replication/repair protein RecF,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09124 Replication and repair // 09182 Protein families: genetic information processing,03440 Homologous recombination [PATH:ko03440] // 03400 DNA repair and recombination proteins [BR:ko03400],K03629  recF; DNA replication and repair protein RecF,536.4316975918111,-0.02681060739595131,0.18990959207355682,-0,1,1,treatment_long.term_vs_ref,1086,HOT1A3,WP_061438857.1
ACZ81_RS00020,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032] // 03400 DNA repair and recombination proteins [BR:ko03400],K02470  gyrB; DNA gyrase subunit B [EC:5.6.2.2],2930.1125445557745,-0.3522575027943464,0.22569843436140707,-0,1,1,treatment_long.term_vs_ref,2418,HOT1A3,WP_014977848.1
ACZ81_RS00025,ACZ81_RS00025,hypothetical protein,no_significant,,,,,150.21390661181647,-0.06732803490497952,0.18257818188809638,-0,1,1,treatment_long.term_vs_ref,441,HOT1A3,WP_039234509.1
ACZ81_RS00030,glyS,glycine--tRNA ligase subunit beta,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09122 Translation // 09181 Protein families: metabolism // 09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970] // 01007 Amino acid related enzymes [BR:ko01007] // 03016 Transfer RNA biogenesis [BR:ko03016],K01879  glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14],2610.288317813363,0.30138533013898794,0.2271471765965771,0,1,1,treatment_long.term_vs_ref,2076,HOT1A3,WP_061438859.1
ACZ81_RS00035,glyQ,glycine--tRNA ligase subunit alpha,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09122 Translation // 09181 Protein families: metabolism // 09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970] // 01007 Amino acid related enzymes [BR:ko01007] // 03016 Transfer RNA biogenesis [BR:ko03016],K01878  glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14],1549.190180083573,0.7244952595601823,0.13833302384796498,1.6228609287606843,0.10461913744484763,0.517186635555525,treatment_long.term_vs_ref,903,HOT1A3,WP_014947716.1
ACZ81_RS00040,ACZ81_RS00040,DNA-3-methyladenine glycosylase I,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09124 Replication and repair // 09182 Protein families: genetic information processing,03410 Base excision repair [PATH:ko03410] // 03400 DNA repair and recombination proteins [BR:ko03400],K01246  tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20],252.83679309677927,-0.07416825551729692,0.11819595615926545,-0,1,1,treatment_long.term_vs_ref,606,HOT1A3,WP_080986385.1
ACZ81_RS00045,ACZ81_RS00045,DUF2489 domain-containing protein,no_significant,,,,,884.4097973130636,-0.4299206524984885,0.20557182719460337,-0,1,1,treatment_long.term_vs_ref,459,HOT1A3,WP_049586362.1
ACZ81_RS00050,yihI,Der GTPase-activating protein YihI,no_significant,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09894  K09894; uncharacterized protein,963.2620312567695,-0.23525242438642205,0.1710797544875454,-0,1,1,treatment_long.term_vs_ref,501,HOT1A3,WP_014947719.1
ACZ81_RS00055,ACZ81_RS00055,class I SAM-dependent methyltransferase,no_significant,,,,,416.9177607547386,0.1400125738213842,0.2872263705696387,0,1,1,treatment_long.term_vs_ref,699,HOT1A3,WP_080986387.1
ACZ81_RS00060,ACZ81_RS00060,cytochrome c4,no_significant,,,,,3219.807759517004,0.01610801319360968,0.140359274070078,0,1,1,treatment_long.term_vs_ref,621,HOT1A3,WP_014947721.1
ACZ81_RS00065,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],K03978  engB; GTP-binding protein,979.5188104379232,-0.375797901130374,0.16451716771420438,-0,1,1,treatment_long.term_vs_ref,633,HOT1A3,WP_014975249.1
ACZ81_RS00070,polA,DNA polymerase I,no_significant,09120 Genetic Information Processing // 09180 Brite Hierarchies,09124 Replication and repair // 09182 Protein families: genetic information processing,03030 DNA replication [PATH:ko03030] // 03410 Base excision repair [PATH:ko03410] // 03420 Nucleotide excision repair [PATH:ko03420] // 03440 Homologous recombination [PATH:ko03440] // 03032 DNA replication proteins [BR:ko03032] // 03400 DNA repair and recombination proteins [BR:ko03400],K02335  polA; DNA polymerase I [EC:2.7.7.7],1241.4580980690935,0.5706874653852457,0.22577991974436065,0.31308127607309644,0.7542189140566313,1,treatment_long.term_vs_ref,2790,HOT1A3,WP_061438861.1
ACZ81_RS00075,elbB,isoprenoid biosynthesis glyoxalase ElbB,no_significant,,,,,669.139085774131,0.011670381833324374,0.12200969448487906,0,1,1,treatment_long.term_vs_ref,651,HOT1A3,WP_061438863.1
ACZ81_RS00080,ACZ81_RS00080,TrkH family potassium uptake protein,no_significant,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03498  trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",462.1359881728054,0.1652931809516445,0.12228607267247593,0,1,1,treatment_long.term_vs_ref,1449,HOT1A3,WP_014947725.1
ACZ81_RS00085,trkA,Trk system potassium transporter TrkA,no_significant,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03499  trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",435.1073505895528,0.29915257450952476,0.13642666838766232,0,1,1,treatment_long.term_vs_ref,1377,HOT1A3,WP_014947726.1
ACZ81_RS00090,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,no_significant,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],"K03500  rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]",516.1674080672339,0.10080973323917393,0.20332314516403055,0,1,1,treatment_long.term_vs_ref,1317,HOT1A3,WP_061438869.1
ACZ81_RS00095,fmt,methionyl-tRNA formyltransferase,no_significant,09100 Metabolism // 09120 Genetic Information Processing,09108 Metabolism of cofactors and vitamins // 09122 Translation,00670 One carbon pool by folate [PATH:ko00670] // 00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],"K00604  MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]",1294.3387711121409,-0.6753350026920066,0.2026317997414085,-0.8652886808278016,0.38688036193937636,1,treatment_long.term_vs_ref,948,HOT1A3,WP_061438871.1
ACZ81_RS00100,def,peptide deformylase,no_significant,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,"K01462  PDF, def; peptide deformylase [EC:3.5.1.88]",5254.608791382857,-0.6836766530499452,0.34748269868932347,-0.5285922255777298,0.5970883545891237,1,treatment_long.term_vs_ref,507,HOT1A3,WP_014947729.1
ACZ81_RS00105,ACZ81_RS00105,LysM peptidoglycan-binding domain-containing protein,down,,,,,1423.9306895024522,-1.5217790290852629,0.24430077587535093,-4.182463299284007,2.8836757896790333e-5,4.957655713522425e-4,treatment_long.term_vs_ref,1080,HOT1A3,WP_232376028.1
ACZ81_RS00110,dprA,DNA-processing protein DprA,no_significant,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing // 09193 Unclassified: signaling and cellular processes,99976 Replication and repair // 99979 Unclassified viral proteins,K04096  smf; DNA processing protein,597.3690154306257,-0.8544108700691697,0.2417658828981447,-1.4659259024503553,0.14266847443611855,0.6508683072627391,treatment_long.term_vs_ref,1107,HOT1A3,WP_014975255.1
