gene_id	gene	product	protein_id	old_locus_tag	A1A_S7	A1B_S8	A1C_S9	A2A_S10	A2B_S11	A2C_S12	A3A_S13	A3B_S14	A3C_S15	C1A_S16	C1B_S17	C1C_S18	C2A_60ng_S19	C2B_100ng_S20	C2B_60ng_S21	C2C_100ng_S22	C2C_60ng_S23	C3A_100ng_S24	C3A_60ng_S25	C3B_60ng_S26	C3C_100ng_S27	C3C_60ng_S28	C4A_S29	C4B_S30	C4C_S31	C5A_S32	C5B_S33	C5C_S34	Mock_S35	P6A_S1	P6B_S2	P6C_S3	P7A_S4	P7B_S5	P7C_S6
ACZ81_RS00005	dnaA	chromosomal replication initiator protein DnaA	WP_232375975.1		5962	6211	1340	2294	7210	15750	5310	12332	20033	2434	1825	4198	8435	3968	2376	1307	1016	7055	4816	3550	3148	2639	3421	2905	1658	4223	5758	4907	3285	0	0	0	0	0	0
ACZ81_RS00010	dnaN	DNA polymerase III subunit beta	WP_012516526.1		3590	2898	784	769	2761	6439	1996	4657	7835	1063	832	1383	5690	2913	1921	1207	1027	2942	2158	2129	1897	1618	1526	1328	516	1840	2191	1626	536	0	0	0	0	0	0
ACZ81_RS00015	recF	DNA replication/repair protein RecF	WP_061438857.1		806	756	203	284	613	1487	601	1265	1280	368	101	302	1201	810	536	373	324	943	659	1028	482	466	412	323	387	504	600	368	155	0	0	0	0	0	0
ACZ81_RS00020	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	WP_014977848.1		5336	3735	960	1092	3754	9944	2587	5235	7447	2153	1460	2493	10941	4634	2838	1655	1482	5736	3349	2365	3099	2620	2082	1881	601	2491	3503	3177	1119	0	0	0	0	0	0
ACZ81_RS00025		hypothetical protein	WP_039234509.1		171	106	63	73	185	425	234	398	748	73	64	46	442	299	183	110	104	202	227	244	201	120	107	131	98	119	170	96	58	0	0	0	0	0	0
ACZ81_RS00030	glyS	glycine--tRNA ligase subunit beta	WP_061438859.1		3158	3375	515	737	2724	7003	1917	5476	9922	1416	1317	1282	14898	5304	3203	1281	1047	6619	3659	1928	3241	2697	2500	2485	593	3406	3858	3955	2218	0	0	0	0	0	0
ACZ81_RS00035	glyQ	glycine--tRNA ligase subunit alpha	WP_014947716.1		1284	1604	488	434	1544	3036	1288	4476	5419	575	395	519	6363	2666	1744	885	645	4340	2482	1977	2001	1682	1769	1573	910	2015	2755	1942	1348	0	0	0	0	0	0
ACZ81_RS00040		DNA-3-methyladenine glycosylase I	WP_080986385.1		427	320	102	107	264	648	299	534	974	148	149	84	381	337	255	188	184	334	317	373	268	193	179	263	139	249	274	203	0	0	0	0	0	0	0
ACZ81_RS00045		DUF2489 domain-containing protein	WP_049586362.1		1294	1055	962	255	783	1770	1180	1831	2224	719	605	453	1326	1012	577	547	468	1118	920	1523	617	536	518	535	493	685	754	725	241	0	0	0	0	0	0
ACZ81_RS00050	yihI	Der GTPase-activating protein YihI	WP_014947719.1		1320	1184	448	437	1317	2280	1218	2508	4336	574	322	520	1990	1034	663	357	354	1324	1322	661	1164	957	1150	1048	280	774	981	755	1426	0	0	0	0	0	0
ACZ81_RS00055		class I SAM-dependent methyltransferase	WP_080986387.1		237	290	134	86	659	1189	640	1997	2666	117	62	154	520	540	318	319	206	647	511	680	438	397	297	421	337	490	432	322	83	0	0	0	0	0	0
ACZ81_RS00060		cytochrome c4	WP_014947721.1		5746	4740	1519	840	4272	7105	3982	8663	9292	2109	1184	1198	9017	4711	3203	2410	2019	5582	4665	7389	3478	2931	2945	2199	1658	2723	3200	2325	4853	0	0	0	0	0	0
ACZ81_RS00065	yihA	ribosome biogenesis GTP-binding protein YihA/YsxC	WP_014975249.1		1979	1615	385	428	978	2745	966	1557	2715	921	538	567	1786	1054	727	487	409	986	890	1227	803	621	817	760	436	842	1035	843	247	0	0	0	0	0	0
ACZ81_RS00070	polA	DNA polymerase I	WP_061438861.1		1038	1082	220	408	1521	3054	1113	3125	6531	362	357	433	9489	3080	2118	654	510	2841	2229	1156	1719	1490	1596	1464	438	1652	1866	1814	114	0	0	0	0	0	0
ACZ81_RS00075	elbB	isoprenoid biosynthesis glyoxalase ElbB	WP_061438863.1		885	989	258	229	814	1529	758	1354	2278	434	334	313	1481	1148	692	436	426	1165	742	646	665	493	590	516	285	673	1012	821	26	0	0	0	0	0	0
ACZ81_RS00080		TrkH family potassium uptake protein	WP_014947725.1		492	481	194	170	537	1243	594	1118	1466	240	197	186	526	630	418	297	240	908	622	783	423	387	336	352	360	467	560	455	166	0	0	0	0	0	0
ACZ81_RS00085	trkA	Trk system potassium transporter TrkA	WP_014947726.1		729	575	102	140	442	1091	542	1098	1596	194	143	143	1231	705	485	366	211	875	596	431	464	419	405	454	255	540	669	493	71	0	0	0	0	0	0
ACZ81_RS00090	rsmB	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	WP_061438869.1		1587	798	116	123	569	1272	564	1135	2004	234	154	186	1670	462	279	280	258	814	591	437	547	461	440	542	256	617	780	571	94	0	0	0	0	0	0
ACZ81_RS00095	fmt	methionyl-tRNA formyltransferase	WP_061438871.1		4451	3059	928	415	1479	3530	1393	2554	4789	694	496	610	2966	920	578	532	503	1622	1114	707	966	726	920	756	350	1111	1571	1145	1475	0	0	0	0	0	0
ACZ81_RS00100	def	peptide deformylase	WP_014947729.1		25755	17448	4845	2010	4451	8967	4185	6476	7673	2930	1516	2101	5035	3419	1956	2215	1793	3368	2402	4299	2116	1837	5013	2629	4430	2829	4912	3686	1597	0	0	0	0	0	0
ACZ81_RS00105		LysM peptidoglycan-binding domain-containing protein	WP_232376028.1		3801	4396	1556	336	1773	2204	2354	9343	5279	1184	378	547	7231	2970	1847	600	535	990	755	1049	691	571	482	421	442	813	999	593	191	0	0	0	1	0	0
ACZ81_RS00110	dprA	DNA-processing protein DprA	WP_014975255.1		1204	1308	656	118	547	1021	1199	1239	1450	552	411	281	1117	686	472	467	391	582	555	1002	375	349	328	333	259	342	329	329	86	0	0	0	0	0	0
ACZ81_RS00115		DUF494 family protein	WP_014947732.1		6762	5990	2056	509	2389	6355	4000	6009	8244	2229	1660	1520	4984	3632	2263	2333	1944	3929	2343	4038	1909	1741	1960	1646	1183	2942	3324	3163	543	0	0	0	0	0	0
ACZ81_RS00120		topoisomerase DNA-binding C4 zinc finger domain-containing protein	WP_014975256.1		419	453	102	50	246	624	313	704	1124	139	134	156	487	227	150	140	138	329	289	230	205	180	198	200	44	324	387	311	17	0	0	0	0	0	0
ACZ81_RS00125		Sua5/YciO/YrdC/YwlC family protein	WP_014975257.1		195	209	62	70	250	305	233	621	794	103	43	96	562	266	181	94	90	417	292	200	225	223	200	215	87	194	229	184	268	0	0	0	0	0	0
ACZ81_RS00130	hemF	oxygen-dependent coproporphyrinogen oxidase	WP_049586350.1		184	213	30	51	131	300	200	405	474	68	50	101	551	265	189	89	57	317	265	172	163	148	137	127	71	150	233	168	139	0	0	0	0	0	0
ACZ81_RS00135		outer membrane beta-barrel protein	WP_061438872.1		3130	2292	23	168	440	1665	776	204	52	181	16	7	24	18	15	11	10	24	12	58	19	11	19	11	24	22	22	4	7	0	0	0	0	0	0
ACZ81_RS00140		group II truncated hemoglobin	WP_014947737.1		154	114	67	36	134	196	99	162	253	56	33	40	160	102	57	51	24	96	89	115	91	54	81	62	45	60	92	75	16	0	0	0	0	0	0
ACZ81_RS00145	aroE	shikimate dehydrogenase	WP_061438874.1		294	354	52	66	316	545	260	572	725	62	45	65	463	327	187	163	107	418	236	330	213	197	197	165	171	220	251	139	159	0	0	0	0	0	0
